1; 50.1; 3; 15000.99; 861440049
2; 50.5; 3; 15000.00; 861234567
3; 15.3; 1; 9000.00;  864322445
4; 12;   1; 5000.85;  869928583
5; 45;   2; 45445.00; 867543543
6; 34;   2; 32244;    866643333
7; 34;   2; 32244;    866643333
8; 34;   2; 32244;    866643333
9; 34;   2; 32244;    866643333
10; 45;   1; 32244;   866643333
11; 67;   1; 32244;   866643333
12; 12;   2; 32244;   866643333
13; 45;   3; 32244;   866643333
14; 32;   3; 32244;   866643333
15; 32;   4; 32244;   866643333
16; 56;   5; 32244;   866643333
17; 68;   6; 32245;   866643333
18; 34;   7; 32244;   866643333
19; 34;   9; 32244;   866643333
20; 34;   1; 32244;   866643333
21; 34;   3; 32244;   866643333
22; 34;   2; 32244;   866643333
23; 34;   2; 32244;   866643333
24; 34;   2; 32244;   866643333
25; 34;   4; 32244;   866643333
26; 34;   5; 32244;   866643333
27; 34;   2; 32244;   866643333
